0,0.3674
0.25,0.396
0.5,0.4341
0.75,0.4587
1,0.495
1.25,0.5218
1.5,0.5474
1.75,0.5797
2,0.6085
2.25,0.6339
2.5,0.6607
2.75,0.6885
3,0.7166
3.25,0.7438
3.5,0.7699
3.75,0.7954
4,0.8211
4.25,0.8471
4.5,0.8738
4.75,0.8972
5,0.9213
5.25,0.946
5.5,0.9706
5.75,0.9949
6,1.0188
6.25,1.0422
6.5,1.065
6.75,1.0873
7,1.1094
7.25,1.1315
7.5,1.1536
7.75,1.1755
8,1.1971
8.25,1.2182
8.5,1.2388
8.75,1.2581
9,1.2755
9.25,1.2908
9.5,1.3041
9.75,1.3159
10,1.3249
10.25,1.3309
10.5,1.3363
10.75,1.3413
11,1.3473
11.25,1.3539
11.5,1.3594
11.75,1.3649
12,1.3683
12.25,1.3687
12.5,1.3694
12.75,1.3687
13,1.3644
13.25,1.3568
13.5,1.3456
13.75,1.3323
14,1.3196
14.25,1.3103
14.5,1.305
14.75,1.3011
15,1.2996
15.25,1.297
15.5,1.2952
15.75,1.2975
16,1.2921
16.25,1.2873
16.5,1.2822
16.75,1.2755
17,1.2673
17.25,1.2568
17.5,1.2419
17.75,1.2181
18,1.1716
18.25,1.0657
18.5,1.0634
18.75,0.995
19,1.0031
